City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,klyuchi,52.2667,79.1667,17.79,88,80,4.05,RU,1722719176
122,talas,38.6908,35.5538,17.37,45,0,2.57,TR,1722719178
123,menongue,-14.6585,17.691,15.18,19,0,2.54,AO,1722719179
124,trairi,-3.2778,-39.2689,25.39,79,16,6.13,BR,1722719037
125,invercargill,-46.4,168.35,3.34,91,51,2.24,NZ,1722719181
126,kununurra,-15.7667,128.7333,14.99,88,8,0.0,AU,1722719182
127,brambleton,38.9821,-77.5386,35.18,49,34,6.9,US,1722719183
128,masaka,-0.3338,31.7341,19.95,64,38,1.29,UG,1722719184
129,hadibu,12.65,54.0333,25.55,81,20,10.21,YE,1722719185
130,hamilton,39.1834,-84.5333,31.45,62,75,6.26,US,1722719022
131,severo-yeniseyskiy,60.3725,93.0408,10.27,81,23,1.13,RU,1722719187
132,geraldton,-28.7667,114.6,8.23,76,0,1.03,AU,1722719188
133,salahonda,2.1019,-78.7217,26.23,81,89,7.03,CO,1722719189
134,fort bragg,35.139,-79.006,31.91,67,0,6.69,US,1722719190
135,qamdo,31.1667,97.2333,8.25,80,84,1.68,CN,1722719191
136,tapes,-30.6733,-51.3958,22.45,67,36,5.1,BR,1722719192
137,walvis bay,-22.9575,14.5053,13.38,82,4,1.39,NA,1722719195
138,upington,-28.4478,21.2561,21.21,24,73,4.63,ZA,1722718934
139,newman,37.3138,-121.0208,38.36,15,32,1.95,US,1722719197
140,hawaiian paradise park,19.5933,-154.9731,25.73,92,100,2.57,US,1722719198
141,avarua,-21.2078,-159.775,23.03,56,100,0.51,CK,1722719199
142,tuensang,26.2833,94.8333,19.79,99,59,0.48,IN,1722719200
143,stanley,54.868,-1.6985,13.62,79,0,2.06,GB,1722719201
144,shubarshi,48.5872,57.1869,20.38,52,3,3.52,KZ,1722719202
145,mili,6.0815,171.735,28.56,72,41,3.94,MH,1722719203
146,aasiaat,68.7098,-52.8699,5.21,79,8,3.11,GL,1722719204
147,nogliki,51.8333,143.1667,13.27,68,100,1.23,RU,1722719205
148,hwange,-18.3693,26.5019,18.08,27,6,1.55,ZW,1722719206
149,la passe,45.5549,-0.8967,20.13,82,16,3.26,FR,1722719207
150,borogontsy,62.6683,131.1683,12.11,61,38,1.58,RU,1722719208
151,batang,-6.4846,110.7083,25.07,84,87,2.17,ID,1722719209
152,tikhvin,59.6451,33.5294,15.68,86,65,1.09,RU,1722719210
153,bubaque,11.2833,-15.8333,25.98,87,100,8.54,GW,1722719211
154,qaqortoq,60.7167,-46.0333,9.44,70,3,3.26,GL,1722719212
155,kindu,-2.95,25.95,24.89,39,16,0.45,CD,1722719214
156,kiunga,-6.1219,141.2906,21.91,96,100,1.72,PG,1722719215
157,remire-montjoly,4.9167,-52.2667,28.02,78,0,2.06,GF,1722719216
158,sarykemer,43.0,71.5,22.71,30,0,1.74,KZ,1722719217
159,santa rosa,14.3122,121.1114,26.99,92,100,2.27,PH,1722718846
160,nova sintra,14.8667,-24.7167,26.55,76,97,1.51,CV,1722719219
161,as saff,29.5647,31.2811,29.21,55,0,6.57,EG,1722719220
162,nemuro,43.3236,145.575,16.81,96,97,3.85,JP,1722719061
163,lages,-27.8161,-50.3261,16.62,85,36,1.82,BR,1722718737
164,revda,56.801,59.9303,11.68,98,54,1.93,RU,1722719223
165,arraial do cabo,-22.9661,-42.0278,22.92,78,75,2.57,BR,1722719224
166,puerto baquerizo moreno,-0.9,-89.6,23.55,88,20,5.66,EC,1722719225
167,port macquarie,-31.4333,152.9167,6.71,96,80,1.34,AU,1722719226
168,olonkinbyen,70.9221,-8.7187,5.52,89,88,2.99,SJ,1722719227
169,tual,-5.6667,132.75,25.26,87,95,10.11,ID,1722719228
170,port lincoln,-34.7333,135.8667,11.09,73,100,4.51,AU,1722719126
171,bayanhongor,46.7167,100.1167,8.36,69,12,1.5,MN,1722719230
172,fale old settlement,-9.3852,-171.2468,27.61,80,56,5.83,TK,1722719232
173,fomboni,-12.28,43.7425,25.04,66,6,4.02,KM,1722719233
174,belmonte,-15.8631,-38.8828,22.49,84,0,3.46,BR,1722719234
175,sarupathar,26.1984,93.8094,24.1,95,33,1.63,IN,1722719235
176,birzebbuga,35.8258,14.5269,28.97,78,0,2.06,MT,1722719236
177,deqing,30.5448,119.9599,27.61,91,100,1.3,CN,1722719237
178,hermanus,-34.4187,19.2345,8.22,79,88,6.23,ZA,1722719238
